date,NIFTY25N0426100CE & NIFTY25N0425650PE 31-Oct-2025 expiry 04-Nov-2025
2025-10-31 09:15:00+05:30,0.0
2025-10-31 09:16:00+05:30,-4.09092618711801
2025-10-31 09:17:00+05:30,-1.532863187588159
2025-10-31 09:18:00+05:30,-2.110860366713683
2025-10-31 09:19:00+05:30,0.6460742830277351
2025-10-31 09:20:00+05:30,-1.192947813822287
2025-10-31 09:21:00+05:30,3.685096379877759
2025-10-31 09:22:00+05:30,3.7864598025387792
2025-10-31 09:23:00+05:30,1.4018805829807217
2025-10-31 09:24:00+05:30,6.555430183356828
2025-10-31 09:25:00+05:30,16.265914433474375
2025-10-31 09:26:00+05:30,11.180629995298542
2025-10-31 09:27:00+05:30,12.594922425952035
2025-10-31 09:28:00+05:30,19.326939351198863
2025-10-31 09:29:00+05:30,14.968406205923827
2025-10-31 09:30:00+05:30,16.40197461212975
2025-10-31 09:31:00+05:30,15.982698636577329
2025-10-31 09:32:00+05:30,18.667983074753167
2025-10-31 09:33:00+05:30,19.478420310296187
2025-10-31 09:34:00+05:30,20.397931358721188
2025-10-31 09:35:00+05:30,22.122425952045116
2025-10-31 09:36:00+05:30,21.644193700047012
2025-10-31 09:37:00+05:30,19.42717442407146
2025-10-31 09:38:00+05:30,21.275035260930878
2025-10-31 09:39:00+05:30,18.760507757404792
2025-10-31 09:40:00+05:30,16.806299952985423
2025-10-31 09:41:00+05:30,15.430559473436755
2025-10-31 09:42:00+05:30,13.953455571227074
2025-10-31 09:43:00+05:30,11.70446638457921
2025-10-31 09:44:00+05:30,11.269769628584857
2025-10-31 09:45:00+05:30,9.452750352609304
2025-10-31 09:46:00+05:30,8.01034320639398
2025-10-31 09:47:00+05:30,12.408556652562282
2025-10-31 09:48:00+05:30,13.889515749882449
2025-10-31 09:49:00+05:30,11.433944522802069
2025-10-31 09:50:00+05:30,9.565679360601777
2025-10-31 09:51:00+05:30,9.90559473436764
2025-10-31 09:52:00+05:30,7.426892336624341
2025-10-31 09:53:00+05:30,6.216455101081323
2025-10-31 09:54:00+05:30,9.349130230371411
2025-10-31 09:55:00+05:30,9.067042783262803
2025-10-31 09:56:00+05:30,7.465444287729188
2025-10-31 09:57:00+05:30,8.072026328161723
2025-10-31 09:58:00+05:30,11.938034790785139
2025-10-31 09:59:00+05:30,9.556840620592379
2025-10-31 10:00:00+05:30,6.82689233662434
2025-10-31 10:01:00+05:30,5.206017865538307
2025-10-31 10:02:00+05:30,2.8159849553361553
2025-10-31 10:03:00+05:30,0.3400094029148981
2025-10-31 10:04:00+05:30,-2.913305124588625
2025-10-31 10:05:00+05:30,-4.432816173013643
2025-10-31 10:06:00+05:30,-4.311048425011759
2025-10-31 10:07:00+05:30,-6.507663375646452
2025-10-31 10:08:00+05:30,-7.500423131170663
2025-10-31 10:09:00+05:30,-8.259144334743773
2025-10-31 10:10:00+05:30,-7.124212505876825
2025-10-31 10:11:00+05:30,-7.918100611189471
2025-10-31 10:12:00+05:30,-8.583638928067703
2025-10-31 10:13:00+05:30,-7.216737188528448
2025-10-31 10:14:00+05:30,-6.708791725434894
2025-10-31 10:15:00+05:30,-10.009967089797845
2025-10-31 10:16:00+05:30,-10.602256699576875
2025-10-31 10:17:00+05:30,-11.058486130700521
2025-10-31 10:18:00+05:30,-11.508603667136818
2025-10-31 10:19:00+05:30,-10.259614480488953
2025-10-31 10:20:00+05:30,-10.955994358251061
2025-10-31 10:21:00+05:30,-13.793888105312657
2025-10-31 10:22:00+05:30,-12.546497414198408
2025-10-31 10:23:00+05:30,-13.319511048425019
2025-10-31 10:24:00+05:30,-12.822002820874477
2025-10-31 10:25:00+05:30,-12.073248707099205
2025-10-31 10:26:00+05:30,-9.93878702397744
2025-10-31 10:27:00+05:30,-11.23855195110484
2025-10-31 10:28:00+05:30,-11.070521861777157
2025-10-31 10:29:00+05:30,-10.97959567465915
2025-10-31 10:30:00+05:30,-9.597743300423133
2025-10-31 10:31:00+05:30,-8.256041372825583
2025-10-31 10:32:00+05:30,-7.667606958157032
2025-10-31 10:33:00+05:30,-8.468735307945465
2025-10-31 10:34:00+05:30,-9.644475787494123
2025-10-31 10:35:00+05:30,-8.911142454160792
2025-10-31 10:36:00+05:30,-7.8830277385989715
2025-10-31 10:37:00+05:30,-3.928161730136348
2025-10-31 10:38:00+05:30,-5.144710860366712
2025-10-31 10:39:00+05:30,-5.07804419370005
2025-10-31 10:40:00+05:30,-4.528161730136343
2025-10-31 10:41:00+05:30,-5.7304184297132155
2025-10-31 10:42:00+05:30,-7.518852844381764
2025-10-31 10:43:00+05:30,-8.735401974612135
2025-10-31 10:44:00+05:30,-8.554677950164548
2025-10-31 10:45:00+05:30,-9.226328161730141
2025-10-31 10:46:00+05:30,-8.68142924306535
2025-10-31 10:47:00+05:30,-9.727691584391161
2025-10-31 10:48:00+05:30,-9.555806299952994
2025-10-31 10:49:00+05:30,-8.845604137282566
2025-10-31 10:50:00+05:30,-8.68030089327692
2025-10-31 10:51:00+05:30,-9.452186177715092
2025-10-31 10:52:00+05:30,-8.820216267042788
2025-10-31 10:53:00+05:30,-8.6664786083686
2025-10-31 10:54:00+05:30,-8.167842031029624
2025-10-31 10:55:00+05:30,-7.878044193700052
2025-10-31 10:56:00+05:30,-8.804795486600847
2025-10-31 10:57:00+05:30,-6.473060648801137
2025-10-31 10:58:00+05:30,-6.473060648801137
2025-10-31 10:59:00+05:30,-6.101175364362961
2025-10-31 11:00:00+05:30,-2.9683121767748037
